,split,user_id,video_id,no_frames,file_path,duration
0,dataset,putin,rHY8yG4mVzs_1_1,1739,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/rHY8yG4mVzs_1_1.csv,57.96666666666667
1,dataset,putin,0rNaPz8TQ9w_71,441,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_71.csv,14.7
2,dataset,putin,0rNaPz8TQ9w_65,504,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_65.csv,16.8
3,dataset,putin,0rNaPz8TQ9w_59,294,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_59.csv,9.8
4,dataset,putin,9mhi_AyQAyw_146,567,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/9mhi_AyQAyw_146.csv,18.9
5,dataset,putin,UB45clPRNoc_22,388,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/UB45clPRNoc_22.csv,12.933333333333334
6,dataset,putin,UB45clPRNoc_36,754,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/UB45clPRNoc_36.csv,25.133333333333333
7,dataset,putin,1hAc7_WZdkg_11,365,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/1hAc7_WZdkg_11.csv,12.166666666666666
8,dataset,putin,wCvqqwwwx8Y_49,370,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/wCvqqwwwx8Y_49.csv,12.333333333333334
9,dataset,putin,1hAc7_WZdkg_39,973,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/1hAc7_WZdkg_39.csv,32.43333333333333
10,dataset,putin,9mhi_AyQAyw_73,513,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/9mhi_AyQAyw_73.csv,17.1
11,dataset,putin,9mhi_AyQAyw_67,287,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/9mhi_AyQAyw_67.csv,9.566666666666666
12,dataset,putin,9mhi_AyQAyw_98,419,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/9mhi_AyQAyw_98.csv,13.966666666666667
13,dataset,putin,rHY8yG4mVzs_14,897,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/rHY8yG4mVzs_14.csv,29.9
14,dataset,putin,QiKF8JN1qmk_99,286,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/QiKF8JN1qmk_99.csv,9.533333333333333
15,dataset,putin,rHY8yG4mVzs_28,1109,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/rHY8yG4mVzs_28.csv,36.96666666666667
16,dataset,putin,QiKF8JN1qmk_105,576,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/QiKF8JN1qmk_105.csv,19.2
17,dataset,putin,QiKF8JN1qmk_66,413,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/QiKF8JN1qmk_66.csv,13.766666666666667
18,dataset,putin,0rNaPz8TQ9w_100,375,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_100.csv,12.5
19,dataset,putin,UB45clPRNoc_3,516,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/UB45clPRNoc_3.csv,17.2
20,dataset,putin,0rNaPz8TQ9w_101,450,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_101.csv,15.0
21,dataset,putin,0rNaPz8TQ9w_115,601,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_115.csv,20.033333333333335
22,dataset,putin,QiKF8JN1qmk_98,610,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/QiKF8JN1qmk_98.csv,20.333333333333332
23,dataset,putin,QiKF8JN1qmk_104,376,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/QiKF8JN1qmk_104.csv,12.533333333333333
24,dataset,putin,rHY8yG4mVzs_15,996,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/rHY8yG4mVzs_15.csv,33.2
25,dataset,putin,9mhi_AyQAyw_99,616,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/9mhi_AyQAyw_99.csv,20.533333333333335
26,dataset,putin,1hAc7_WZdkg_38,510,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/1hAc7_WZdkg_38.csv,17.0
27,dataset,putin,1hAc7_WZdkg_10,343,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/1hAc7_WZdkg_10.csv,11.433333333333334
28,dataset,putin,wCvqqwwwx8Y_74,993,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/wCvqqwwwx8Y_74.csv,33.1
29,dataset,putin,UB45clPRNoc_37,287,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/UB45clPRNoc_37.csv,9.566666666666666
30,dataset,putin,UB45clPRNoc_23,439,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/UB45clPRNoc_23.csv,14.633333333333333
31,dataset,putin,wCvqqwwwx8Y_120,286,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/wCvqqwwwx8Y_120.csv,9.533333333333333
32,dataset,putin,0rNaPz8TQ9w_64,629,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_64.csv,20.966666666666665
33,dataset,putin,rHY8yG4mVzs_1_0,1799,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/rHY8yG4mVzs_1_0.csv,59.96666666666667
34,dataset,putin,0rNaPz8TQ9w_99,570,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_99.csv,19.0
35,dataset,putin,wCvqqwwwx8Y_122,705,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/wCvqqwwwx8Y_122.csv,23.5
36,dataset,putin,0rNaPz8TQ9w_66,449,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_66.csv,14.966666666666667
37,dataset,putin,wCvqqwwwx8Y_136,469,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/wCvqqwwwx8Y_136.csv,15.633333333333333
38,dataset,putin,0rNaPz8TQ9w_72,578,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_72.csv,19.266666666666666
39,dataset,putin,9mhi_AyQAyw_145,376,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/9mhi_AyQAyw_145.csv,12.533333333333333
40,dataset,putin,UB45clPRNoc_35,356,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/UB45clPRNoc_35.csv,11.866666666666667
41,dataset,putin,r8k2pWbCjrw_9,404,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/r8k2pWbCjrw_9.csv,13.466666666666667
42,dataset,putin,9mhi_AyQAyw_58,389,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/9mhi_AyQAyw_58.csv,12.966666666666667
43,dataset,putin,wCvqqwwwx8Y_76,715,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/wCvqqwwwx8Y_76.csv,23.833333333333332
44,dataset,putin,9mhi_AyQAyw_64,557,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/9mhi_AyQAyw_64.csv,18.566666666666666
45,dataset,putin,rHY8yG4mVzs_17,1799,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/rHY8yG4mVzs_17.csv,59.96666666666667
46,dataset,putin,QiKF8JN1qmk_106,411,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/QiKF8JN1qmk_106.csv,13.7
47,dataset,putin,hpkwxDFUmb8_4,1013,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/hpkwxDFUmb8_4.csv,33.766666666666666
48,dataset,putin,UB45clPRNoc_1,292,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/UB45clPRNoc_1.csv,9.733333333333333
49,dataset,putin,UB45clPRNoc_0,670,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/UB45clPRNoc_0.csv,22.333333333333332
50,dataset,putin,0rNaPz8TQ9w_102,383,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_102.csv,12.766666666666667
51,dataset,putin,9mhi_AyQAyw_71,431,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/9mhi_AyQAyw_71.csv,14.366666666666667
52,dataset,putin,9mhi_AyQAyw_59,406,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/9mhi_AyQAyw_59.csv,13.533333333333333
53,dataset,putin,1hAc7_WZdkg_13,1001,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/1hAc7_WZdkg_13.csv,33.36666666666667
54,dataset,putin,wCvqqwwwx8Y_63,299,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/wCvqqwwwx8Y_63.csv,9.966666666666667
55,dataset,putin,rHY8yG4mVzs_6,1293,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/rHY8yG4mVzs_6.csv,43.1
56,dataset,putin,0rNaPz8TQ9w_73,325,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_73.csv,10.833333333333334
57,dataset,putin,0rNaPz8TQ9w_67,418,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_67.csv,13.933333333333334
58,dataset,putin,0rNaPz8TQ9w_98,331,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_98.csv,11.033333333333333
59,dataset,putin,0rNaPz8TQ9w_88,556,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_88.csv,18.533333333333335
60,dataset,putin,QiKF8JN1qmk_9,419,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/QiKF8JN1qmk_9.csv,13.966666666666667
61,dataset,putin,wCvqqwwwx8Y_127,722,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/wCvqqwwwx8Y_127.csv,24.066666666666666
62,dataset,putin,0rNaPz8TQ9w_77,309,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/0rNaPz8TQ9w_77.csv,10.3
63,dataset,putin,UB45clPRNoc_30,354,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/UB45clPRNoc_30.csv,11.8
64,dataset,putin,UB45clPRNoc_18,581,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/UB45clPRNoc_18.csv,19.366666666666667
65,dataset,putin,9mhi_AyQAyw_140,461,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/9mhi_AyQAyw_140.csv,15.366666666666667
66,dataset,putin,9mhi_AyQAyw_61,670,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/9mhi_AyQAyw_61.csv,22.333333333333332
67,dataset,putin,9mhi_AyQAyw_75,377,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/9mhi_AyQAyw_75.csv,12.566666666666666
68,dataset,putin,1hAc7_WZdkg_17,772,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/1hAc7_WZdkg_17.csv,25.733333333333334
69,dataset,putin,wCvqqwwwx8Y_98,416,/Users/shrutiagarwal/Documents/MATLAB/bkup/dataset/putin/real/wCvqqwwwx8Y_98.csv,13.866666666666667
